Weather_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Arlit,NE,18.7369,7.3853,38.59,9,8,6.46,clear sky
278,Guantanamo,CU,20.1444,-75.2092,28.76,59,94,0.94,overcast clouds
279,Mafinga,TZ,-7.25,35.0667,26.75,25,53,5.79,broken clouds
280,Rawson,AR,-43.3002,-65.1023,20.48,32,68,5.6,broken clouds
281,Hithadhoo,MV,-0.6,73.0833,28.05,74,84,6.96,broken clouds
282,Vila,PT,42.0304,-8.1588,19.28,54,7,1.81,clear sky
283,Maniitsoq,GL,65.4167,-52.9,1.55,59,100,4.52,overcast clouds
284,Daru,PG,-9.0763,143.2092,26.13,89,99,7.27,overcast clouds
285,Leningradskiy,RU,69.3833,178.4167,-3.78,93,100,3.55,overcast clouds
286,Upata,VE,8.0086,-62.3989,30.11,65,71,0.7,broken clouds
287,Kikinda,RS,45.8297,20.4653,14.5,61,100,2.43,overcast clouds
288,Vostok,RU,46.4856,135.8833,-5.16,86,97,1.77,overcast clouds
289,Tura,IN,25.5198,90.2201,22.56,89,93,0.81,overcast clouds
290,Saint-Augustin,CA,51.226,-58.6502,17.04,50,32,7.3,scattered clouds
291,Gizo,SB,-8.103,156.8419,27.61,77,96,3.28,light rain
292,Angoche,MZ,-16.2325,39.9086,24.76,74,2,6.77,clear sky
293,Eirunepe,BR,-6.6603,-69.8736,36.98,34,24,1.34,few clouds
294,Chicama,PE,-7.8447,-79.1469,15.3,61,33,4.65,scattered clouds
295,Camacha,PT,33.0833,-16.3333,21.68,73,20,4.63,few clouds
296,Tigil,RU,57.8,158.6667,6.44,91,100,4.9,light rain
297,Chala,TZ,-7.5833,31.2667,21.0,26,56,0.42,broken clouds
298,Terney,RU,45.0503,136.6092,2.49,56,1,6.52,clear sky
299,La Palma,US,33.8464,-118.0467,28.84,75,40,2.06,scattered clouds
300,Pesaro,IT,43.9036,12.8903,20.63,77,100,5.14,overcast clouds
301,Launceston,AU,-41.45,147.1667,3.8,82,42,5.14,scattered clouds
302,Severo-Kurilsk,RU,50.6789,156.125,11.75,91,100,10.96,light rain
303,Luderitz,NA,-26.6481,15.1594,15.88,68,0,10.16,clear sky
304,Panjakent,TJ,39.4952,67.6093,14.87,34,0,1.04,clear sky
305,Adelaide,AU,-34.9333,138.6,15.71,79,89,7.72,light rain
306,Palanga,LT,55.9175,21.0686,12.01,76,20,2.06,few clouds
307,Charters Towers,AU,-20.1,146.2667,19.0,80,97,5.04,overcast clouds
308,Hohhot,CN,40.8106,111.6522,-0.84,59,0,2.0,clear sky
309,Caraquet,CA,47.7941,-64.9386,15.3,40,78,3.99,broken clouds
310,Goure,NE,13.9835,10.2704,36.87,14,56,3.73,broken clouds
311,Aklavik,CA,68.2191,-135.0107,-3.75,93,6,6.08,clear sky
312,Marsa Matruh,EG,31.3525,27.2453,25.11,65,20,4.12,few clouds
313,Zeya,RU,53.75,127.2667,-3.4,73,63,1.94,broken clouds
314,Shimoda,JP,34.6667,138.95,24.5,89,95,8.72,overcast clouds
315,Tagusao,PH,9.1924,117.8141,26.26,84,75,1.8,broken clouds
316,Nyurba,RU,63.2842,118.3319,-4.06,83,35,2.88,scattered clouds
317,Acari,PE,-15.4311,-74.6158,23.19,48,38,4.77,scattered clouds
318,Filadelfia,US,39.9523,-75.1638,11.01,95,100,6.69,overcast clouds
319,Oriximina,BR,-1.7656,-55.8661,32.73,45,53,1.83,broken clouds
320,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,34.99,32,35,4.54,scattered clouds
321,Magugu,TZ,-4.0167,35.7667,24.9,30,15,0.21,few clouds
322,Golden,US,39.7555,-105.2211,18.76,65,40,1.79,scattered clouds
323,Salinopolis,BR,-0.6136,-47.3561,29.31,66,66,5.07,broken clouds
324,Peniche,PT,39.3558,-9.3811,24.6,70,4,4.7,clear sky
325,Poyarkovo,RU,49.6,128.6833,-1.76,56,7,3.53,clear sky
326,Freetown,SL,8.484,-13.2299,28.84,61,40,3.09,scattered clouds
327,Kirakira,SB,-10.4544,161.9205,26.77,81,100,4.21,overcast clouds
328,Nizhniy Kuranakh,RU,58.8353,125.4869,-3.59,93,100,4.51,light snow
329,Mitchell,US,43.7094,-98.0298,17.84,80,40,3.6,scattered clouds
330,Abbeville,FR,50.1,1.8333,18.05,83,68,2.57,broken clouds
331,Merauke,ID,-8.4667,140.3333,26.19,88,100,6.14,overcast clouds
332,Buchanan,LR,5.8808,-10.0467,26.87,79,94,4.03,overcast clouds
333,Awbari,LY,26.5921,12.7805,27.54,30,0,4.01,clear sky
334,Tilichiki,RU,60.4667,166.1,4.33,89,100,8.62,moderate rain
335,Ahipara,NZ,-35.1667,173.1667,12.49,73,99,4.88,overcast clouds
336,Port Augusta,AU,-32.5,137.7667,15.21,80,61,2.41,broken clouds
337,Coihaique,CL,-45.5752,-72.0662,12.34,50,40,5.66,scattered clouds
338,Noumea,NC,-22.2763,166.4572,13.99,71,0,2.29,clear sky
339,Simpang,ID,-1.2667,104.0833,24.14,94,100,0.5,light rain
340,Aden,YE,12.7794,45.0367,30.83,70,89,4.82,overcast clouds
341,Tandil,AR,-37.3217,-59.1332,19.27,25,73,6.23,broken clouds
342,Champerico,GT,14.3,-91.9167,32.3,72,55,1.57,broken clouds
343,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,8.33,100,100,6.0,light intensity shower rain
344,Ampanihy,MG,-24.7,44.75,21.7,74,0,3.43,clear sky
345,Eregli,TR,37.5133,34.0467,21.35,44,62,1.53,broken clouds
346,Polson,US,47.6936,-114.1632,17.62,73,2,0.44,clear sky
347,Winslow,US,35.0242,-110.6974,14.1,82,100,2.57,overcast clouds
348,Houston,US,29.7633,-95.3633,28.56,51,0,3.09,clear sky
349,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,27.07,61,14,4.65,few clouds
350,Fukue,JP,32.6881,128.8419,22.49,83,100,8.6,overcast clouds
351,Hay River,CA,60.8156,-115.7999,8.99,71,75,4.63,broken clouds
352,Fomboni,KM,-12.28,43.7425,24.94,73,14,1.69,few clouds
353,Trinidad,BO,-14.8333,-64.9,33.99,52,75,4.12,moderate rain
354,Nemuro,JP,43.3236,145.575,12.91,85,100,11.52,overcast clouds
355,Half Moon Bay,US,37.4636,-122.4286,17.1,88,100,3.09,overcast clouds
356,Bambous Virieux,MU,-20.3428,57.7575,22.34,78,40,4.63,scattered clouds
357,San Rafael,AR,-34.6177,-68.3301,19.94,36,58,7.57,broken clouds
358,Antofagasta,CL,-23.65,-70.4,16.6,63,16,4.09,few clouds
359,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,34.24,42,50,2.63,scattered clouds
360,Bowral,AU,-34.4667,150.4167,11.3,97,100,1.72,moderate rain
361,Port Lincoln,AU,-34.7333,135.8667,14.07,94,42,5.78,scattered clouds
362,Timra,SE,62.487,17.3257,10.93,93,0,2.57,clear sky
363,Richards Bay,ZA,-28.783,32.0377,21.19,63,100,2.97,overcast clouds
364,Port Macquarie,AU,-31.4333,152.9167,14.94,85,81,0.63,broken clouds
365,Fortuna,US,40.5982,-124.1573,14.25,68,84,1.82,broken clouds
366,Slupsk,PL,54.4641,17.0287,9.69,92,41,3.15,scattered clouds
367,Bubaque,GW,11.2833,-15.8333,27.85,73,99,4.16,overcast clouds
368,Blackfoot,US,43.1905,-112.345,19.75,36,2,1.55,clear sky
369,Kitami,JP,43.8031,143.8908,11.18,85,100,4.56,overcast clouds
370,Tateyama,JP,34.9833,139.8667,25.61,85,98,11.78,overcast clouds
371,Oktyabrskiy,RU,54.4815,53.471,10.08,35,91,4.38,overcast clouds
372,Ouadda,CF,8.0777,22.4007,21.08,93,67,1.44,moderate rain
373,Mareeba,AU,-17.0,145.4333,21.4,88,82,2.14,broken clouds
374,Camocim,BR,-2.9022,-40.8411,32.91,48,86,6.54,overcast clouds
375,Tarko-Sale,RU,64.9225,77.785,2.7,91,100,4.9,overcast clouds
376,Kieta,PG,-6.2167,155.6333,25.71,87,97,2.25,light rain
377,Meadow Lake,US,34.8014,-106.5436,17.44,71,94,1.58,overcast clouds
378,Swan Hill,AU,-35.3378,143.5544,13.78,94,100,6.83,moderate rain
379,Birao,CF,10.2849,22.7882,25.46,73,75,1.82,light rain
380,Pamekasan,ID,-7.1568,113.4746,27.0,78,70,1.45,broken clouds
381,Kungurtug,RU,50.5994,97.5228,-5.1,50,2,0.3,clear sky
382,Tarakan,ID,3.3,117.6333,26.59,79,96,2.63,overcast clouds
383,Sharkan,RU,57.2989,53.8712,10.1,47,100,2.95,overcast clouds
384,Lekoni,GA,-1.5843,14.2591,25.33,76,94,1.47,light rain
385,Tessalit,ML,20.1986,1.0114,38.68,8,2,5.13,clear sky
386,Domoni,KM,-12.2569,44.5319,24.4,81,86,0.42,overcast clouds
387,Los Zacatones,MX,22.95,-102.05,19.03,46,63,4.18,broken clouds
388,Greytown,ZA,-29.0642,30.5928,13.2,93,100,1.22,overcast clouds
389,Berlevag,NO,70.8578,29.0864,6.0,65,0,8.23,clear sky
390,Progreso,MX,21.2833,-89.6667,30.62,56,57,4.27,broken clouds
391,Broken Hill,AU,-31.95,141.4333,17.71,90,100,5.78,overcast clouds
392,Envira,BR,-7.3,-70.2167,36.59,33,6,1.46,clear sky
393,Kommunisticheskiy,RU,61.6789,64.4819,7.55,95,100,1.41,light rain
394,Sola,VU,-13.8833,167.55,26.59,77,42,7.14,scattered clouds
395,Kawai,JP,34.2333,135.85,18.8,98,90,1.72,light rain
396,Talnakh,RU,69.4865,88.3972,0.67,99,100,2.99,light snow
397,Sur,OM,22.5667,59.5289,26.98,70,0,3.92,clear sky
398,Tiarei,PF,-17.5333,-149.3333,24.01,77,69,12.39,light rain
399,Ponta Delgada,PT,37.7333,-25.6667,24.4,83,40,5.66,scattered clouds
400,Sapa,PH,5.1544,120.3241,27.73,78,72,2.28,broken clouds
401,Sheksna,RU,59.21,38.5107,8.98,83,90,6.15,heavy intensity rain
402,Phalaborwa,ZA,-23.943,31.1411,25.13,62,0,8.55,clear sky
403,Okhotsk,RU,59.3833,143.3,-0.27,56,99,5.13,overcast clouds
404,Strelice,CZ,49.1522,16.504,13.9,76,0,1.03,clear sky
405,Koshurnikovo,RU,54.1667,93.3,-3.25,77,1,0.91,clear sky
406,Belleville,CA,44.1788,-77.3705,17.72,39,75,2.57,broken clouds
407,Touros,BR,-5.1989,-35.4608,28.28,58,88,7.42,overcast clouds
408,Faya,SA,18.3851,42.4509,22.06,40,60,1.86,broken clouds
409,Islamkot,PK,24.6997,70.177,30.29,47,76,3.97,broken clouds
410,Antakya,TR,36.2066,36.1572,24.9,69,1,2.17,clear sky
411,Turka,UA,49.1541,23.0297,7.66,92,96,2.66,overcast clouds
412,Richmond West,US,25.6105,-80.4297,30.57,59,40,3.09,scattered clouds
413,Oyama,JP,36.3,139.8,26.99,65,92,0.89,overcast clouds
414,Coahuayana,MX,18.7333,-103.6833,27.66,77,88,0.65,overcast clouds
415,San Carlos De Bariloche,AR,-41.1456,-71.3082,10.86,54,40,9.77,light rain
416,Umm Lajj,SA,25.0213,37.2685,29.27,68,0,2.56,clear sky
417,Moindou,NC,-21.6924,165.677,19.01,71,1,3.28,clear sky
418,San Quintin,MX,30.4833,-115.95,22.12,75,35,1.93,scattered clouds
419,Aykhal,RU,66.0,111.5,-3.71,91,98,8.14,overcast clouds
420,Meulaboh,ID,4.1363,96.1285,23.27,96,100,1.42,moderate rain
421,Sitka,US,57.0531,-135.33,11.94,71,75,4.12,broken clouds
422,Mecca,SA,21.4267,39.8261,31.48,28,20,3.03,few clouds
423,Nueva Armenia,HN,15.7956,-86.4985,29.86,58,26,3.12,scattered clouds
424,Nur,PL,52.6683,22.3221,10.54,80,74,5.14,broken clouds
425,Verkhoyansk,RU,67.5447,133.385,-12.74,98,53,0.71,broken clouds
426,Kavieng,PG,-2.5744,150.7967,27.83,80,53,7.67,light rain
427,Phan Thiet,VN,10.9333,108.1,25.96,87,99,3.4,overcast clouds
428,Nueva Guinea,NI,11.6876,-84.4562,27.79,75,98,4.87,overcast clouds
429,Anloga,GH,5.7947,0.8973,26.52,79,63,5.43,broken clouds
430,Leshukonskoye,RU,64.8989,45.7622,6.35,96,100,2.1,overcast clouds
431,Beringovskiy,RU,63.05,179.3167,2.63,85,91,3.6,overcast clouds
432,Cabo San Lucas,MX,22.8909,-109.9124,31.77,59,0,2.57,clear sky
433,Guider,CM,9.9342,13.9486,26.59,68,61,0.85,broken clouds
434,Torrington,US,41.8007,-73.1212,12.76,80,100,4.02,overcast clouds
435,Kulhudhuffushi,MV,6.6221,73.07,27.56,79,91,7.57,overcast clouds
436,Kavaratti,IN,10.5669,72.642,27.58,77,100,7.36,overcast clouds
437,Boffa,GN,10.1667,-14.0333,29.72,79,99,3.51,overcast clouds
438,Bilma,NE,18.6853,12.9164,35.1,12,1,1.96,clear sky
439,Zhangye,CN,38.9342,100.4517,12.13,38,98,2.27,overcast clouds
440,Dillon,US,34.4166,-79.3712,22.15,38,0,4.03,clear sky
441,Pisco,PE,-13.7,-76.2167,17.23,77,75,2.57,haze
442,Geraldton,AU,-28.7667,114.6,12.23,87,40,3.09,scattered clouds
443,Wexford,IE,52.3342,-6.4575,16.05,98,100,6.71,overcast clouds
444,Cheremukhovo,RU,60.3484,59.9851,7.27,81,49,1.46,scattered clouds
445,Arrah,IN,25.5667,84.6667,25.94,96,100,5.82,light rain
446,Salym,RU,60.0625,71.4789,6.52,97,100,1.82,overcast clouds
447,Nichinan,JP,31.6,131.3667,23.24,91,39,2.88,scattered clouds
448,Alyangula,AU,-13.8483,136.4192,26.57,74,98,1.24,overcast clouds
449,Fort Nelson,CA,58.8053,-122.7002,3.77,75,20,1.54,few clouds
450,Kharitonovo,RU,61.4009,47.4978,10.16,88,100,3.39,overcast clouds
451,Celestun,MX,20.8667,-90.4,28.37,60,21,2.9,few clouds
452,Kahului,US,20.8947,-156.47,25.01,80,75,4.12,broken clouds
453,San Cristobal,VE,7.7669,-72.225,28.1,39,19,2.8,few clouds
454,Maragogi,BR,-9.0122,-35.2225,26.94,62,13,4.79,few clouds
455,Jinchang,CN,38.4953,102.1739,8.36,45,45,3.32,scattered clouds
456,Hofn,IS,64.2539,-15.2082,7.88,93,99,8.22,overcast clouds
457,Tutoia,BR,-2.7619,-42.2744,29.36,61,48,6.26,scattered clouds
458,Qui Nhon,VN,13.7667,109.2333,24.99,90,100,2.77,overcast clouds
459,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.2,76,100,6.69,overcast clouds
460,Glendive,US,47.1053,-104.7125,17.79,78,100,4.12,overcast clouds
461,Mouzouras,GR,35.5333,24.15,20.0,77,20,5.66,few clouds
462,Oranjemund,NA,-28.55,16.4333,14.56,76,0,8.12,clear sky
463,Nortelandia,BR,-14.4547,-56.8028,36.41,29,32,3.19,scattered clouds
464,Vigrestad,NO,58.5667,5.7,14.03,96,100,8.1,light rain
465,Sakakah,SA,29.9697,40.2064,32.76,11,0,4.03,clear sky
466,Haines Junction,CA,60.7522,-137.5108,-1.03,86,100,0.0,overcast clouds
467,Hobyo,SO,5.3505,48.5268,25.39,85,85,8.02,overcast clouds
468,Kodino,RU,63.7198,39.6447,8.52,94,60,2.64,broken clouds
469,Cadereyta,MX,25.5833,-99.9833,23.43,49,38,2.65,scattered clouds
470,Bathsheba,BB,13.2167,-59.5167,29.34,79,75,10.29,broken clouds
471,Ukiah,US,39.1502,-123.2078,24.69,67,0,0.0,clear sky
472,Dubasari,MD,47.2631,29.1608,13.5,61,100,4.72,overcast clouds
473,Bhuban,IN,20.8833,85.8333,24.62,97,98,1.81,overcast clouds
474,Beisfjord,NO,68.3751,17.5988,10.03,84,18,3.89,few clouds
475,Coquimbo,CL,-29.9533,-71.3436,16.85,55,40,6.17,scattered clouds
476,Parkville,US,39.3773,-76.5397,11.07,93,100,2.06,light rain
477,Jackson,US,42.4165,-122.8345,20.42,55,0,0.89,clear sky
478,Dingle,PH,10.9995,122.6711,24.75,88,94,1.98,light rain
479,Waingapu,ID,-9.6567,120.2641,26.77,81,84,1.73,broken clouds
480,Awjilah,LY,29.1081,21.2869,26.35,41,27,3.62,scattered clouds
481,Port Hedland,AU,-20.3167,118.5667,21.03,88,40,2.06,scattered clouds
482,Tolmin,SI,46.183,13.7332,17.77,86,86,0.4,overcast clouds
483,Sisimiut,GL,66.9395,-53.6735,1.24,69,70,2.49,broken clouds
484,Poum,NC,-20.2333,164.0167,22.54,68,21,4.79,few clouds
485,Ozernovskiy,RU,51.5,156.5167,11.93,87,100,14.23,moderate rain
486,Koulikoro,ML,14.0,-7.75,35.73,33,38,3.45,scattered clouds
487,Tulum,MX,20.2167,-87.4667,30.76,50,40,2.21,scattered clouds
488,Bom Jesus,BR,-9.0744,-44.3586,39.17,12,23,2.07,few clouds
489,Shepsi,RU,44.0361,39.1489,19.04,70,98,2.5,overcast clouds
490,Yola,NG,9.2,12.4833,26.47,72,99,0.77,overcast clouds
491,Praia Da Vitoria,PT,38.7333,-27.0667,26.14,69,20,3.47,few clouds
492,Wete,TZ,-5.0559,39.7294,23.33,84,61,3.94,broken clouds
493,Lagos,NG,6.5833,3.75,28.18,78,50,2.82,scattered clouds
494,Lasa,IT,46.6166,10.7002,15.49,59,88,1.59,overcast clouds
495,El Dorado,US,38.7666,-120.5177,25.21,44,12,1.72,few clouds
496,Tukan,RU,53.8409,57.4552,3.94,53,86,1.8,overcast clouds
497,Inhambane,MZ,-23.865,35.3833,24.99,88,40,3.09,scattered clouds
498,Harper,LR,4.375,-7.7169,26.09,82,57,3.36,broken clouds
499,Kyshtovka,RU,56.555,76.6271,4.47,94,100,3.29,overcast clouds
500,Quatre Cocos,MU,-20.2078,57.7625,22.27,75,57,6.19,broken clouds
501,Chimoio,MZ,-19.1164,33.4833,26.92,50,0,4.19,clear sky
502,Lincoln,US,40.8,-96.667,25.75,37,100,2.68,overcast clouds
503,Huarmey,PE,-10.0681,-78.1522,19.83,69,41,5.58,scattered clouds
504,Copiapo,CL,-27.3667,-70.3333,15.83,36,5,3.49,clear sky
505,Robat Karim,IR,35.4846,51.0829,25.92,19,0,1.54,clear sky
506,Arecibo,PR,18.4724,-66.7157,32.37,77,23,1.79,few clouds
507,Atar,MR,20.5169,-13.0499,40.39,15,53,6.22,broken clouds
508,Mukhen,RU,48.1,136.1,-1.48,81,50,3.07,scattered clouds
509,Ouanaminthe,HT,19.55,-71.7333,32.6,52,52,2.73,broken clouds
510,Bethanien,NA,-26.502,17.1583,27.16,6,0,6.38,clear sky
511,Curup,ID,-3.4667,102.5333,19.38,98,100,0.84,moderate rain
512,North Bend,US,43.4065,-124.2243,13.98,94,100,1.54,overcast clouds
513,Rafaela,AR,-31.2503,-61.4867,26.67,17,0,2.68,clear sky
514,Bridlington,GB,54.0831,-0.1919,15.96,78,100,8.47,light rain
515,Kokopo,PG,-4.352,152.2633,24.87,87,78,2.24,broken clouds
516,Takoradi,GH,4.8845,-1.7554,26.43,80,83,4.93,broken clouds
517,Shaunavon,CA,49.6501,-108.4181,16.88,43,10,2.89,clear sky
518,Coolum Beach,AU,-26.5333,153.1,12.97,96,61,1.25,broken clouds
519,Taltal,CL,-25.4,-70.4833,15.52,69,10,2.78,clear sky
520,Puerto Maldonado,PE,-12.6,-69.1833,30.22,62,40,2.57,scattered clouds
521,Flin Flon,CA,54.7682,-101.865,9.91,87,75,1.03,broken clouds
522,Majene,ID,-3.5403,118.9707,25.45,87,100,1.64,overcast clouds
523,Oussouye,SN,12.485,-16.5469,34.1,68,97,4.39,overcast clouds
524,Shakiso,ET,5.75,38.9167,16.9,82,92,1.14,overcast clouds
525,Agua Prieta,MX,31.3,-109.5667,24.65,37,2,0.99,clear sky
526,General Roca,AR,-39.0333,-67.5833,22.57,22,98,6.7,overcast clouds
527,Wuxue,CN,29.8506,115.5525,16.43,67,100,3.91,overcast clouds
528,Nixa,US,37.0434,-93.2944,23.74,44,6,1.34,clear sky
529,Araouane,ML,18.9048,-3.5265,40.55,8,0,5.66,clear sky
530,Ati,TD,13.2154,18.3353,27.65,57,55,7.07,light rain
531,Astoria,US,46.1879,-123.8313,14.15,93,100,1.54,overcast clouds
532,Lavrentiya,RU,65.5833,-171.0,1.35,73,50,2.75,scattered clouds
533,Wilmington Island,US,32.0036,-80.9737,21.13,55,0,2.57,clear sky
534,Les Escoumins,CA,48.1111,-69.0236,8.64,49,99,4.97,overcast clouds
535,Carutapera,BR,-1.195,-46.02,30.91,55,40,4.79,scattered clouds
536,Tirumullaivasal,IN,11.2333,79.8333,29.52,65,100,2.26,overcast clouds
537,Xingcheng,CN,40.6167,120.7167,5.85,35,0,3.09,clear sky
538,Bud,US,39.447,-86.1758,20.93,42,0,2.87,clear sky
539,Cabedelo,BR,-6.9811,-34.8339,30.37,62,58,6.22,broken clouds
540,Rodrigues Alves,BR,-7.738,-72.6509,32.11,36,58,1.44,broken clouds
541,Dispur,IN,26.1425,91.7889,26.97,96,100,0.81,overcast clouds
542,Jalu,LY,29.0331,21.5482,26.51,38,23,3.99,few clouds
543,Gariaband,IN,20.635,82.0614,22.93,99,100,1.72,overcast clouds
544,Christchurch,NZ,-43.5333,172.6333,6.38,91,75,3.09,broken clouds
545,Araioses,BR,-2.89,-41.9031,31.99,62,20,7.2,few clouds
546,Gerash,IR,27.6652,54.1371,27.08,26,3,2.25,clear sky
547,Margate,GB,51.3813,1.3862,15.94,88,100,2.24,overcast clouds
548,Berbera,SO,10.4396,45.0143,32.9,54,92,4.59,overcast clouds
549,Shush,IR,32.1942,48.2436,33.36,11,0,5.54,clear sky
550,Palu,ID,-0.8917,119.8707,23.92,95,94,1.37,overcast clouds
551,Fukuma,JP,33.7667,130.4667,21.27,86,100,7.06,overcast clouds
